metroArea,metroX,metroY,area,hoverName
Abilene_TX_2080,-99.75782998,32.42350731,0.0136863,"Abilene, TX"
Akron_OH_2080,-81.49557939,41.06037589,0.0921506,"Akron, OH"
Albany_GA_2080,-84.16127932,31.59527678,0.0177008,"Albany, GA"
Albany_NY_2080,-73.79261444,42.74737242,0.0860019,"Albany, NY"
Albertville_AL_2080,-86.22662098,34.27491492,0.00959404,"Albertville, AL"
Albuquerque_NM_2080,-106.6249776,35.15939813,0.0650716,"Albuquerque, NM"
Alexandria_LA_2080,-92.45851773,31.3386289,0.016174,"Alexandria, LA"
Allentown_PA_2080,-75.43270089,40.65906841,0.0966099,"Allentown, PA"
Alton_IL_2080,-90.13193976,38.90054731,0.0149498,"Alton, IL"
Altoona_PA_2080,-78.39847925,40.4961883,0.0103047,"Altoona, PA"
Amarillo_TX_2080,-101.8376207,35.20695794,0.020965,"Amarillo, TX"
Anchorage_AK_2080,-149.7821232,61.19127857,0.0371419,"Anchorage, AK"
Anderson_IN_2080,-85.68323101,40.11132711,0.0181485,"Anderson, IN"
Anderson_SC_2080,-82.66465483,34.51350353,0.0191623,"Anderson, SC"
Ann Arbor_MI_2080,-83.6772446,42.24202968,0.0465606,"Ann Arbor, MI"
Anniston_AL_2080,-85.8356188,33.68389464,0.0219806,"Anniston, AL"
Antioch_CA_2080,-121.7918434,37.9960687,0.0217033,"Antioch, CA"
Appleton_WI_2080,-88.40143831,44.2398444,0.0315018,"Appleton, WI"
Asheboro_NC_2080,-79.81119992,35.74582908,0.00851632,"Asheboro, NC"
Asheville_NC_2080,-82.58874415,35.51453997,0.0687756,"Asheville, NC"
Athens_GA_2080,-83.4023702,33.94528161,0.0251042,"Athens, GA"
Atlanta_GA_2080,-84.33172466,33.82382481,0.676354,"Atlanta, GA"
Atlantic City_NJ_2080,-74.64470913,39.36985912,0.0350854,"Atlantic City, NJ"
Auburn_AL_2080,-85.4476576,32.61742209,0.0125064,"Auburn, AL"
Auburn_CA_2080,-121.0778782,38.93055224,0.0072193,"Auburn, CA"
Augusta_GA_2080,-81.9543205,33.48442651,0.0658787,"Augusta, GA"
Austin_TX_2080,-97.76075615,30.35939669,0.128228,"Austin, TX"
Avondale_AZ_2080,-112.4208298,33.47744595,0.0221203,"Avondale, AZ"
Bakersfield_CA_2080,-119.0099007,35.35562278,0.0357817,"Bakersfield, CA"
Baltimore_MD_2080,-76.649793,39.2345365,0.200587,"Baltimore, MD"
Bangor_ME_2080,-68.74059296,44.85145609,0.0129504,"Bangor, ME"
Barnstable Town_MA_2080,-70.41971391,41.72805437,0.0839975,"Barnstable Town, MA"
Baton Rouge_LA_2080,-91.03267348,30.41600344,0.0902985,"Baton Rouge, LA"
Battle Creek_MI_2080,-85.22312563,42.31866461,0.0153816,"Battle Creek, MI"
Bay City_MI_2080,-83.88598219,43.61178456,0.0121093,"Bay City, MI"
Beaufort_SC_2080,-80.71878896,32.45019037,0.0126499,"Beaufort, SC"
Beaumont_TX_2080,-94.1237395,30.14444451,0.0224958,"Beaumont, TX"
Beckley_WV_2080,-81.15871146,37.849526,0.0162338,"Beckley, WV"
Bel Air_MD_2080,-76.29599872,39.54101715,0.0365992,"Bel Air, MD"
Bellingham_WA_2080,-122.4573793,48.79970165,0.0163627,"Bellingham, WA"
Beloit_WI_2080,-89.02639905,42.51805196,0.0100025,"Beloit, WI"
Bend_OR_2080,-121.3177024,44.05528802,0.0116137,"Bend, OR"
Benton Harbor_MI_2080,-86.47825112,42.04088352,0.013429,"Benton Harbor, MI"
Billings_MT_2080,-108.5342709,45.79630635,0.0159295,"Billings, MT"
Binghamton_NY_2080,-75.93753511,42.0869885,0.0218852,"Binghamton, NY"
Birmingham_AL_2080,-86.79099214,33.46622254,0.13413,"Birmingham, AL"
Bismarck_ND_2080,-100.8287629,46.83400299,0.0120448,"Bismarck, ND"
Blacksburg_VA_2080,-80.45574951,37.16917358,0.0135144,"Blacksburg, VA"
Bloomington_IL_2080,-88.98706813,40.48931229,0.0135547,"Bloomington, IL"
Bloomington_IN_2080,-86.54656514,39.16692526,0.0120978,"Bloomington, IN"
Bloomsburg_PA_2080,-76.41471981,41.01724748,0.00939802,"Bloomsburg, PA"
Bluefield_WV_2080,-81.20697541,37.30437153,0.0112285,"Bluefield, WV"
Boise City_ID_2080,-116.28114,43.6174847,0.0391157,"Boise City, ID"
Bonita Springs_FL_2080,-81.69728226,26.21179285,0.0470798,"Bonita Springs, FL"
Boston_MA_2080,-71.14224368,42.37351872,0.552427,"Boston, MA"
